,textdata,seq_len,id,case_name,first_party,second_party,winner_label,timeline,decision_type
18,"On Jnury 4 1967 John J Mrssey entered  gulty ple  n nmt chrgng  wth flse utterng   cck After servng prt   seven-yer sentence t Iow Bd  Prole grnted Mrssey prole nd  ws relesed  Iow Stte Pententry  June 20 1968 On Jnury 24 1969 ever Mrssey ws rrested n Cedr Rpds  voltng  prole T Bd  Prole entered n der revokng  prole nd returnng Mrssey  prs Mrssey fled severl hs cpus cts n Iow stte cts ten June 1969 nd August 1969   exhusted  stte redes On Septemr 12 1969 Mrssey fled  hs cpus pett n federl dstrct ct whch ws dened; t ct l dened  notce  ppel csdered s n pplct  certfcte  probble cuse T Unted Sttes Ct  Appels Eghth Crcut grnted Mrssey’s pplct nd ppted counsel  represent Mrssey  ppel
On Aprl 29 1968 G Dld Bo entered  gulty ple  n nmt chrgng  wth gery On Novemr 14 1968 t Bd  Prole grnted  prole relesng Bo   ten-yer sentence t Iow Stte Pententry On August 28 1969 Bo llegedly volted  prole nd t Bd  Prole revoked  prole  Septemr 13 Bo fled severl petts   wrt  hs cpus n stte dstrct ct ten Novemr 1969 nd Mrch 1970; t dstrct ct dsmssed ll  Bo’s petts He tn fled n pplct  certfcte  probble cuse n federl dstrct ct  June 16 1970 T dstrct ct dened  pplct  t Unted Sttes Ct  Appels Eghth Crcut grnted t  ppel pptng counsel nd cldtng t clms  Mrssey nd Bo 
Netr Mrssey  Bo ws grnted  rng  otr opptunty  quest chllenge  co wre  t fcts whch d t bss  ech mn’s prole volt Netr mn ws grnted t opptunty  present evdence    hlf   cfrt  cross-exmne  provdng testmy gnst  T Eghth Crcut ever ffrd t denls  t petts  Mrssey nd Bo n  4-3 en bnc rulng",2281,50715,Morrissey v. Brewer,Morrissey,Brewer,1,1971,majority opinion
19,"Severl ndgent Cln stte prsers fled complnts ttckng t csttutlty  t regults whch bde Cln prss  hvng  thn tlve lw books n  prs lbrry  On Jnury 10 1967 t dstrct ct cldted t multple cses cuse ty ctned comm quests  lw nd fct 
T Cln prsers moved  t cvenng   three-judge dstrct ct  tr mot ws dened On ppel t Unted Sttes Ct  Appels  t Nnth Crcut reversed t lor ct's der denyng  three-judge pnel On My 28 1970  three-judge dstrct ct grnted t plntffs relef  t regult lmtng t numr  lw books n prs lbrres T defendnts ppeled t dstrct ct's decs",796,50719,Younger v. Gilmore,"Evelle J. Younger, et al.","Robert O. Gilmore, Jr., et al.",0,1971,per curiam
20,In 1971 Sent Mke Grvel receved  copy  t Pentg Ppers:  set  clssfed cunts ccernng US nvolvent n t Vetnm wr Grvel tn ntroduced t study n ts entrety n t recd   Sente Subcommttee etng Grvel l rrnged  t prvte publct  t ppers  t Bec Press A federl grnd jury subpoened Lerd Rodrg e  Grvel's des  testfy b  role n t cqust nd publct  t ppers,487,50721,Gravel v. United States,Gravel,United States,1,1971,majority opinion
21,"Durng t erly mnng hs  Oct 30 1966 n ndvdul pprocd  polce fcer n  gs stt prkng lot n Brdgept Cnectcut nd nd  tht notr ndvdul n  ner vehcle ws crryng nrcotcs nd hd  gun t  wst T fcer pprocd t vehcle  foot nd sked t occnt Rt Wllms  open t  Wn Wllms rolled wn t wnw nsted t fcer recd n t cr nd removed  gun  Wllms’ wstbnd though t gun ws not vsble  sde t vehcle T fcer tn rrested Wllms  unlwful possess   frerm nd proceeded  serch  vehcle wre  found r Wllms ws cvcted n  Cnectcut stte ct  possess   hndgun nd r
After t Sre Ct  Cnectcut ffrd t cvct Wllms fled  clm gnst t prs wrden Frederck Adms n whch  lleged tht t stte  Cnectcut ctnued  detn  unlwfully s  prser Wllms rgued tht t hndgun nd drugs re dsced  n unlwful serch nd  not hve en dmtted n evdence t  trl T dstrct ct dened  pett On ppel t US Ct  Appels  t Secd Crcut sded wth Wllms nd dered tht  cvct  set sde",1336,50722,Adams v. Williams,Frederick E. Adams,Robert Williams,1,1971,majority opinion
22,Dld Tnner ws  Vetnm Wr protest  ws dstrng nt-wr hndblls nsde Lloyd Center Mll n Ptlnd Oreg T hndblls re unrelted  t operts  Lloyd Center Lloyd Center ws prvtely ed  Lloyd Cpt whch prohbted t dstr  hndblls nsde t mll Whle dstrng hndblls Tnner nd otr protests re nd  mll securty tht ty  sp tr dstr   subject  rrest T protests ended tr dstr left t mll nd fled sut gnst Lloyd Cpt n Unted Sttes Dstrct Ct  t Dstrct  Oreg llegng tr Frst Andnt rght  free speech hd en volted T Dstrct Ct ruled n tr fv T Unted Sttes Ct  Appels  t Nnth Crcut,799,50723,"Lloyd Corporation, Ltd. v. Tanner",Lloyd Corp. Ltd.,Donald Tanner et al.,1,1971,majority opinion
23,"Chcgo pted n dnnce prohbtng pcketng wthn 150 feet   school  school hs; t lw mde n except  peceful lb pcketng Mosley hd en pcketng ner  publc hgh school;  ws protestng ""blck dscrmnt"" Mosley s  declrt tht t dnnce ws uncsttutl",327,50724,Police Department of the City of Chicago v. Mosley,Police Department of the City of Chicago,Mosley,0,1971,majority opinion
24,Gnes Ted Hus suffered  bck njury whle wkng   fxed ol rg ed  Cvr Ol Compny f t cost  Lousn Me thn two yers fter t njury Hus sued Cvr  dmges n Unted Sttes Dstrct Ct Estern Dstrct  Lousn New Orlens Dvs Hus lleged tht t ok severl mths    relze t severty   njury T Dstrct Ct reled  Rodrgue v Aetn Csulty &mp; Surety Co 395 US 352 (1969) holdng tht Lousn's e-yer sttute  lmtts ppled nsted  t dmrlty lcs ctrne  Hus's clm ws brred Rodrgue ld tht stte lw not dmrlty lw ppled n tse stuts  t Outer Ctnentl Slf Lnds Act On ppel  t Unted Sttes Ct  Appels  t Ffth Crcut Hus rgued tht cuse  fled t cse e t Rodrgue decs pplyng ts rulng  hve n unfr retrospectve effect T Ct  Appels reversed holdng tht t Lousn sttute  lmtts ws ncsstent wth t dmrlty lcs ctrne nd tree ws not pplcble,1139,50725,Chevron Oil Company v. Huson,Chevron Oil Company,Huson,0,1971,majority opinion
25,"Curts C Flood ws  pressl bsebll plyer  t St Lous Crdnls  t Ntl Legue Flood ws  csstent bove-verge htter nd  ll-regrded felder plyng e full ses wth n err n 1966 n unusul chevent Flood plyed tlve sess  t Crdnls prtcptng n three Wld Seres nd ws t co-cptn  t tem ten 1965 nd 1969
Despte t Flood ws trded  t Phldelph Phlles n Oct 1969 T Crdnls  not csult  e t trde nd mngent ly nd  b t trde fter t ws fnlzed Flood complned  t Commsser  Bsebll Bo K Kuhn requestng tht t legue mke   free gent Kuhn dened  request relyng  bsebll’s “reserve cluse” whch mntned  gven tem’s rghts   plyer even fter tht plyer’s ctrct expred Flood tn fled n nttrust sut gnst Kuhn t presdents  t two mj legues nd t tnty-f mj legue clubs He declned  ply  t Phlles n 1970 despte  $100000 slry fer
Flood lleged volts  t federl nttrust lws cvl rghts lws stte sttutes t comm lw nd t mpost   m  pege nd nvoluntry servtude n volt  t Thrteenth Andnt nd severl federl lws T trl ct grnted t defense’s mot  summry judgnt relyng  Federl Bsebll Club v Ntl Legue nd Tools v New Yk Ynkees whch estblsd  lg-stndng nttrust exempt  pressl bsebll clubs T Unted Sttes Ct  Appels Secd Crcut ffrd",1656,50745,Flood v. Kuhn,Curtis C. Flood,"Bowie K. Kuhn, Commissioner of Baseball, et al.",0,1971,majority opinion
26,"Perry Pul n lleged bookmker nd Jero Zrowtz  r executve   Ls Vegs csno hd tr telephes tpped  federl gents T gents recded cversts ten Pul nd Dvd Gelbrd nd ten Zrowtz nd Sdney Prns Gelbrd nd Prns re clled e  federl grnd jury cvened  nvestgte possble volts  federl gmblng lws Wn t gnnt pressed Gelbrd nd Prns  testfy b tse cversts ever ty refused    Insted ty cld tht t wretps re llegl nd rgued tht ty  not  requred  testfy untl gven n opptunty  chllenge t leglty  t tps T Unted Sttes Dstrct Ct  t Srn Dstrct  Cln found Gelbrd nd Prns n ctempt  ct nd commtted tm  cusdy untl ty greed  testfy
On ppel t US Ct  Appels  t Nnth Crcut greed wth t dstrct ct sttng tht "" wtness n  grnd jury proceedng hs no rght  rest   ct  secure uthttve dvnce determnt ccernng evdentry mtters tht rse   rse   exclude evdence   used n   proceedng"" Gelbrd nd Prns tn s certr  t Ct ptng   decs  t US Ct  Appels  t Thrd Crcut vctng ctempt chrges gnst  wtness  smlr crcumstnces",1403,50742,Gelbard v. United States,David Gelbard,United States,1,1971,majority opinion
27,Frncs Hnes ws plced n ltry cfnent  15 dys cuse  ht notr nmte  t d wth  shovel   cfrtt Hnes ws 66 yers old nd suffered   foot dsblty He cld  foot dsblty wsened due  ng kept n ltry cfnent wre  hd  sleep  t flo wth ly blnkets  spt Hnes sued t Stte  Illnos nd rgued tht t cdts   ltry cfnent volted t Due Process Cluse  t Fteenth Andnt nd t Eghth Andnt’s prohbt gnst cruel nd unusul punshnt T Stte  Illnos moved  dsmss t cse  t grounds tht Hnes fled  stte  cuse  ct T dstrct ct grnted t dsmssl nd stted tht cts cn ly ntercede wth t nternl operts  stte prss  exceptl crcumstnces T dstrct ct l found tht Hnes hd fled  s tht  hd en deprved   csttutl rghts T US Ct  Appels  t Seventh Crcut ld t dsmssl nd determned tht stte pententres re enttled  tr  dscret wn punshng nmtes,1156,50749,Haines v. Kerner,Francis Haines,"Otto J. Kerner, former Governor of Illinois",1,1971,per curiam
28,Kstgr cted  Ffth Andnt protect gnst self-ncrmnt n refusng  testfy e  grnd jury even though prosecuts hd grnted  mmunty  t use   testmy n subsequent crmnl proceedngs He ws found n ctempt  ct  flng  testfy,297,50753,Kastigar v. United States,Kastigar,United States,0,1971,majority opinion
29,"In 1966 DH Overer Co entered n  ctrct wth Frck Co  t mnufcture nd nstllt   $223000 umtc refrgert system   wrehouse  cstruct n Tole Oho T greent estblsd  promssy note wth mthly pynt oblgts Overer gn  fll hnd  t mthly pynts Frck fled three chnc's lens gnst t Tole wrehouse nd t two compnes negotted  new pynt greent n Februry 1967 Overer gn fell hnd  pynts nd t two compnes estblsd  new note whch ctned  cfess--judgnt provs
In June  1968 Overer spped mkng mthly pynts  t new note nd br  clm gnst Frck n t Unted Sttes Dstrct Ct  t Srn Dstrct  New Yk  lleged brecs  t gnl ctrct T Dstrct ct ccluded tht t plntff fled  s ny lkelhood tht t  prevl  t rts
Frck c e t Comm Ples Ct  Lucs County Oho nd sked t ct  enter  judgnt gnst Overer  t remnng blnce  t note plus nterest Overer  not receve notce pr  t entry  t judgnt cuse t cfess--judgnt provs wved t ssunce nd servce  process nd cfessed judgnt
After t entry  t dverse judgnt Overer fled severl mots ncludng  mot  vcte t judgnt due   lck  notce After  rng ws ld t ct dened t mots Overer ppeled  t Ct  Appels  Lucs County Oho ssertng deprvt  due process n volt  t Oho nd Federl Csttuts T ppellte ct ffrd t lor ct's decs T Sre Ct  Oho dsmssed t subsequent ppel nd Overer ppeled  t Sre Ct",1848,50754,"D. H. Overmyer Company, Inc., of Ohio v. Frick","D. H. Overmyer Company, Inc., of Ohio",Frick,0,1971,majority opinion
30,"On July 20 1958 ntruders t n elderly cole  deth n Chrstn County Kentucky Shtly fterwrd polce rrested Sls Mnnng nd Wlle Brker  t cr Both re ndcted  Septemr 15 nd ssgned counsel  Septemr 17 Brker’s trl ws scduled  gn  Septemr 21  t stte leved t hd  strger cse gnst Mnnng nd tht Mnnng’s testmy   essentl  cvct Brker T stte obtned  seres  ctnunces  Brker’s trl s Mnnng ws tred fve ts nd fnlly cvcted n 1962 Begnnng n June 1959 Brker ws   prs  bl nd  not ctest t ctnunces Brker’s trl ws set  Mrch 19 1963 nd wn t stte requested  ctnunces Brker unsuccessfully objected At  trl gnnng  Oct 9 1963 Brker ws cvcted
T Kentucky Ct  Appels ffrd t cvct Brker s hs cpus relef n dstrct ct  rgung tht t lg trl dely volted  rght   speedy trl whch t dstrct ct dened T Ct  Appels  t Sxth Crcut ffrd t judgnt  t dstrct ct",1163,50756,Barker v. Wingo,Willie Mae Barker,"John W. Wingo, Warden",0,1971,majority opinion
31,A Tennessee lw requred  e-yer resdence n t stte nd  three-mth resdence n t county s  precdt  votng Js Blumsten  unversty press  hd recently moved  Tennessee chllenged t lw  flng sut gnst G Wnfeld Dunn nd otr locl fcls n federl dstrct ct,333,50775,Dunn v. Blumstein,Dunn,Blumstein,0,1971,majority opinion
32,"In 1954 Allen Generes nd  s-n-lw Wllm Kelly d Kelly-Generes Cstruct Co Inc Generes nd Kelly ech ed 44%  t sck wth t remnng 12% ed  Generes’ s nd notr s-n-lw Generes ws t presdent  t cpt nd  not del wth t dy--dy runnng  t busness In ddt   post s presdent  ld notr full-t post s t presdent   svngs nd l sct In 1958 Generes nd Kelly sgned n ndemnty greent  t cpt In 1962 t cpt serously bd two ctrcts nd nt deeply n debt Generes led t cpt mey  t nt bnkrt nd  ws unble  receve rembursent
On  1962 tx return Generes cld t mey t cpt lost s busness bd debt nd  drect ls  t cpt s nbusness bd debt He fled  clm   refund  t busness bd debt T clm ws t subject   jury trl n whch t jury ws sked  determne wtr Generes’ sgnng  t ndemnty greent ws “proxmtely relted   trde  busness  ng n employee “ t cpt T gnnt requested  jury nstruct  clrfy tht “sgnfcnt” motvt stsfes t requrent  t ct refused nd nstructed t jury tht “mnnt” motvt ws suffcent T jury found n fv  Generes T US Ct  Appels  t Ffth Crcut ffrd nd ld tht t sgnfcnt motvt stndrd ws cceptble",1543,50779,United States v. Generes,United States,Allen H. Generes and Edna Generes,1,1971,majority opinion
33,T Mnerl Kng Vlley ws n undeveloped prt  t Sequo Ntl Fest tht ws ly used  mnng untl t 1920s In t lte 1940s developers gn  mke bds  t lnd  recretl developnts Wlt Dsney Enterprses w  bd  strt surveyng t vlley n t hopes  developng n 80-cre sk rest T sze  t proposed rest  requre t cstruct   new hghwy nd mssve hgh voltge por lnes tht  run  t Sequo Ntl Fest T Serr Club kept trck  t project  yers nd hoped  sp t  protect t undeveloped lnd T Serr Club fled prelmnry nd permnent njuncts gnst federl fcls  prevent tm  grntng permts  t developnt  t Mnerl Kng Vlley T dstrct ct grnted tse njuncts T US Ct  Appels  t Nnth Crcut turned t njuncts  t grounds tht t Serr Club  not s tht t   drectly ffected  t cts  t defendnts nd tree  not hve stndng  sue  t Admnstrtve Procedure Act Alterntvely t ppellte ct l ld tht t Serr Club hd not mde n dequte sng  rreprble njury  lkelhood  tr success  t rts  t cse,1289,50783,Sierra Club v. Morton,Sierra Club,"Roger C. B. Morton, Secretary of the Interior of the United States",0,1971,majority opinion
34,Investgtng three people t suspected  csprng  destroy gnnt property nd bombng  Centrl Intellgence Agency fce fcls used electrc survellnce  recd suspects' cversts T wretppng ws cducted wth  serch wrrnt,272,50784,United States v. United States District Court for the Eastern District of Michigan,United States,United States District Court for the Eastern District of Michigan,0,1971,majority opinion
35,"Mrylnd trl cts cvcted Alrt Murel nd t otr petters  vrous crs nd sentenced tm  fxed terms  mprsnt T petters re “defectve delnquents”  ech ws commtted  t Ptuxent Insttut  ntl lth fclty pursunt  t Mrylnd Defectve Delnquency Lw 
T petters s  federl hs cpus n dstrct ct Ty chllenged t cdts  tr cfnent nd t procedures tht led  tr commtnt Ty l rgued tht Mrylnd's sttuty stndrd  t commtnt  ""delnquent defendnts"" ws uncsttutlly vgue T dstrct ct dened relef T Unted Sttes Ct  Appels  t Fth Crcut ffrd t lor ct's opn T petters ppeled  t Sre Ct",801,50786,Murel v. Baltimore City Criminal Court,"Albert Delanor Murel, et al.","Baltimore City Criminal Court, et al.",0,1971,per curiam
36,Rt Sndermnn hd en  press t Odess Ju College  f yers wkng  e-yer ctrcts After  elect s presdent  t Texs Ju College Tecrs Asct  hd severl publc dsgreents wth t Odess Ju College Bd  Regents In My 1969 fter t exprt   techng ctrct Sndermnn ws not fered  new ctrct nd termnted  t college's Bd  Regents Whle t Bd  Regents  ssue  press relese ccusng   nsubdnt ty  not provde fcl ress   termnt  t opt   rng    chllenge  termnt Sndermnn fled sut n t Unted Sttes Dstrct Ct  t Western Dstrct  Texs He lleged tht  termnt ws due   dsgreents wth t Bd  Regents  volt   Frst Andnt rght  free speech nd tht t lck   rng volted  Fteenth Andnt rght  due process T Dstrct Ct ruled  t Bd  Regents wth  full trl He ppeled  t Unted Sttes Ct  Appels  t Ffth Crcut whch ld tht  termnt  hve en uncsttutl f t ws bsed   exercse  free speech  f  hd  resble expectt  ctnued employnt T Ffth Crcut remnded t cse  t Dstrct Ct,1353,50790,Perry v. Sindermann,Charles R. Perry et al.,Robert P. Sindermann,0,1971,majority opinion
